id,subject,fold,model,th,f1
SR007-CR1-5470-5534,SR007,1,2D,0.75,0.6227088743557008
SR007-CR1-5470-5534,SR007,1,2D,0.8,0.5522176954299788
SR007-CR1-5470-5534,SR007,1,2D,0.85,0.3781470077805551
SR007-CR1-5470-5534,SR007,1,2D,0.9,0.19414330508992544
SR007-CR1-5470-5534,SR007,1,2D,0.95,0.013888888888503087
SR007-CR2-3970-4034,SR007,1,3D,0.5,0.8572843822103441
SR007-CR2-3970-4034,SR007,1,3D,0.55,0.8364510488787469
SR007-CR2-3970-4034,SR007,1,3D,0.6,0.797989510420167
SR007-CR2-3970-4034,SR007,1,3D,0.65,0.7771561770885698
SR007-CR2-3970-4034,SR007,1,3D,0.7,0.7771561770885698
SR007-CR2-3970-4034,SR007,1,3D,0.75,0.7124708624088666
SR007-CR2-3970-4034,SR007,1,3D,0.8,0.6230769230229655
SR007-CR2-3970-4034,SR007,1,3D,0.85,0.29729020976477444
SR007-CR2-3970-4034,SR007,1,3D,0.9,0.2780594405354845
SR007-CR2-3970-4034,SR007,1,3D,0.95,0.0592948717901771
SR007-CR2-3970-4034,SR007,1,2D,0.5,0.7186355310815798
SR007-CR2-3970-4034,SR007,1,2D,0.55,0.7007783882257125
SR007-CR2-3970-4034,SR007,1,2D,0.6,0.6829212453698452
SR007-CR2-3970-4034,SR007,1,2D,0.65,0.6636904761405552
SR007-CR2-3970-4034,SR007,1,2D,0.7,0.5918956043510031
SR007-CR2-3970-4034,SR007,1,2D,0.75,0.5726648351217132
SR007-CR2-3970-4034,SR007,1,2D,0.8,0.5147435897049587
SR007-CR2-3970-4034,SR007,1,2D,0.85,0.3162087911848298
SR007-CR2-3970-4034,SR007,1,2D,0.9,0.2388278388099007
SR007-CR2-3970-4034,SR007,1,2D,0.95,0.07042124541612951
SR007-CR2-520-584,SR007,1,3D,0.5,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.55,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.6,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.65,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.7,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.75,0.9749999998133333
SR007-CR2-520-584,SR007,1,3D,0.8,0.9249999998233333
SR007-CR2-520-584,SR007,1,3D,0.85,0.8416666665038888
SR007-CR2-520-584,SR007,1,3D,0.9,0.5499999998962499
SR007-CR2-520-584,SR007,1,3D,0.95,0.04166666665972222
SR007-CR2-520-584,SR007,1,2D,0.5,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.55,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.6,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.65,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.7,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.75,0.9499999998141666
SR007-CR2-520-584,SR007,1,2D,0.8,0.8999999998241666
SR007-CR2-520-584,SR007,1,2D,0.85,0.724999999855
SR007-CR2-520-584,SR007,1,2D,0.9,0.6416666665355555
SR007-CR2-520-584,SR007,1,2D,0.95,0
SR007-CR2-7675-7739,SR007,1,3D,0.5,0.8244047617900073
SR007-CR2-7675-7739,SR007,1,3D,0.55,0.8244047617900073
SR007-CR2-7675-7739,SR007,1,3D,0.6,0.8244047617900073
SR007-CR2-7675-7739,SR007,1,3D,0.65,0.8244047617900073
SR007-CR2-7675-7739,SR007,1,3D,0.7,0.8244047617900073
SR007-CR2-7675-7739,SR007,1,3D,0.75,0.7886904760808237
SR007-CR2-7675-7739,SR007,1,3D,0.8,0.7296626983100385
SR007-CR2-7675-7739,SR007,1,3D,0.85,0.6210317459450388
SR007-CR2-7675-7739,SR007,1,3D,0.9,0.35218253963224166
SR007-CR2-7675-7739,SR007,1,3D,0.95,0
SR007-CR2-7675-7739,SR007,1,2D,0.5,0.7538690475165198
SR007-CR2-7675-7739,SR007,1,2D,0.55,0.7538690475165198
SR007-CR2-7675-7739,SR007,1,2D,0.6,0.7538690475165198
SR007-CR2-7675-7739,SR007,1,2D,0.65,0.7538690475165198
SR007-CR2-7675-7739,SR007,1,2D,0.7,0.6913690475243324
SR007-CR2-7675-7739,SR007,1,2D,0.75,0.6556547618151487
SR007-CR2-7675-7739,SR007,1,2D,0.8,0.6244047618190549
SR007-CR2-7675-7739,SR007,1,2D,0.85,0.4591269840646761
SR007-CR2-7675-7739,SR007,1,2D,0.9,0.23670634917274622
SR007-CR2-7675-7739,SR007,1,2D,0.95,0
SR007-TL1-3150-3214,SR007,1,3D,0.5,0.7017857141383312
SR007-TL1-3150-3214,SR007,1,3D,0.55,0.6705357141422374
SR007-TL1-3150-3214,SR007,1,3D,0.6,0.6392857141461437
SR007-TL1-3150-3214,SR007,1,3D,0.65,0.6392857141461437
SR007-TL1-3150-3214,SR007,1,3D,0.7,0.60357142843696
SR007-TL1-3150-3214,SR007,1,3D,0.75,0.4696428570264052
SR007-TL1-3150-3214,SR007,1,3D,0.8,0.4339285713172215
SR007-TL1-3150-3214,SR007,1,3D,0.85,0.4339285713172215
SR007-TL1-3150-3214,SR007,1,3D,0.9,0.38392857132722147
SR007-TL1-3150-3214,SR007,1,3D,0.95,0.0624999999921875
SR007-TL1-3150-3214,SR007,1,2D,0.5,0.6124999998631399
SR007-TL1-3150-3214,SR007,1,2D,0.55,0.5455357141578624
SR007-TL1-3150-3214,SR007,1,2D,0.6,0.5098214284486787
SR007-TL1-3150-3214,SR007,1,2D,0.65,0.5098214284486787
SR007-TL1-3150-3214,SR007,1,2D,0.7,0.5098214284486787
SR007-TL1-3150-3214,SR007,1,2D,0.75,0.4741071427394951
SR007-TL1-3150-3214,SR007,1,2D,0.8,0.43839285703031144
SR007-TL1-3150-3214,SR007,1,2D,0.85,0.3883928570403114
SR007-TL1-3150-3214,SR007,1,2D,0.9,0.3883928570403114
SR007-TL1-3150-3214,SR007,1,2D,0.95,0
SR007-TL1-370-434,SR007,1,3D,0.5,0.9122474746540808
SR007-TL1-370-434,SR007,1,3D,0.55,0.9122474746540808
SR007-TL1-370-434,SR007,1,3D,0.6,0.9122474746540808
SR007-TL1-370-434,SR007,1,3D,0.65,0.8011363635553155
SR007-TL1-370-434,SR007,1,3D,0.7,0.8011363635553155
SR007-TL1-370-434,SR007,1,3D,0.75,0.7803030302237182
SR007-TL1-370-434,SR007,1,3D,0.8,0.7275252524515269
SR007-TL1-370-434,SR007,1,3D,0.85,0.49595959590753336
SR007-TL1-370-434,SR007,1,3D,0.9,0.21388888886595678
SR007-TL1-370-434,SR007,1,3D,0.95,0.05277777777219136
SR007-TL1-370-434,SR007,1,2D,0.5,0.9122474746540808
SR007-TL1-370-434,SR007,1,2D,0.55,0.9122474746540808
SR007-TL1-370-434,SR007,1,2D,0.6,0.8844696968793895
SR007-TL1-370-434,SR007,1,2D,0.65,0.8289141413300067
SR007-TL1-370-434,SR007,1,2D,0.7,0.7733585857806241
SR007-TL1-370-434,SR007,1,2D,0.75,0.7275252524515269
SR007-TL1-370-434,SR007,1,2D,0.8,0.7066919191199297
SR007-TL1-370-434,SR007,1,2D,0.85,0.6404040403379192
SR007-TL1-370-434,SR007,1,2D,0.9,0.1611111110937654
SR007-TL1-370-434,SR007,1,2D,0.95,0
SR007-TL1-4680-4744,SR007,1,3D,0.5,0.8712121211360766
SR007-TL1-4680-4744,SR007,1,3D,0.55,0.8712121211360766
SR007-TL1-4680-4744,SR007,1,3D,0.6,0.8712121211360766
SR007-TL1-4680-4744,SR007,1,3D,0.65,0.8712121211360766
SR007-TL1-4680-4744,SR007,1,3D,0.7,0.8257575756856634
SR007-TL1-4680-4744,SR007,1,3D,0.75,0.8030303029604569
SR007-TL1-4680-4744,SR007,1,3D,0.8,0.7803030302352503
SR007-TL1-4680-4744,SR007,1,3D,0.85,0.7159090908468492
SR007-TL1-4680-4744,SR007,1,3D,0.9,0.5208333332880366
SR007-TL1-4680-4744,SR007,1,3D,0.95,0.10984848483881426
SR007-TL1-4680-4744,SR007,1,2D,0.5,0.8661546785875603
SR007-TL1-4680-4744,SR007,1,2D,0.55,0.8661546785875603
SR007-TL1-4680-4744,SR007,1,2D,0.6,0.8661546785875603
SR007-TL1-4680-4744,SR007,1,2D,0.65,0.8276931401289805
SR007-TL1-4680-4744,SR007,1,2D,0.7,0.7562645687055112
SR007-TL1-4680-4744,SR007,1,2D,0.75,0.6820887445351965
SR007-TL1-4680-4744,SR007,1,2D,0.8,0.6436272060766166
SR007-TL1-4680-4744,SR007,1,2D,0.85,0.4872002996620337
SR007-TL1-4680-4744,SR007,1,2D,0.9,0.31262487510028125
SR007-TL1-4680-4744,SR007,1,2D,0.95,0.017857142855867345
SR007-TL2-2216-2280,SR007,1,3D,0.5,0.8153200587532617
SR007-TL2-2216-2280,SR007,1,3D,0.55,0.7824890196368031
SR007-TL2-2216-2280,SR007,1,3D,0.6,0.765822352970692
SR007-TL2-2216-2280,SR007,1,3D,0.65,0.7241186080703419
SR007-TL2-2216-2280,SR007,1,3D,0.7,0.6352972529182489
SR007-TL2-2216-2280,SR007,1,3D,0.75,0.5203450115972471
SR007-TL2-2216-2280,SR007,1,3D,0.8,0.42435205101230933
SR007-TL2-2216-2280,SR007,1,3D,0.85,0.28334699910746397
SR007-TL2-2216-2280,SR007,1,3D,0.9,0.039583333332078995
SR007-TL2-2216-2280,SR007,1,3D,0.95,0
