id,subject,fold,model,cls,bfscore
SR009-CL2-910-974,SR009,3,3D,epi,0.7098194473015873
SR009-CL2-910-974,SR009,3,2D,fas,0.5060496080952381
SR009-CL2-910-974,SR009,3,2D,epi,0.5840489192063492
SR009-CL2-910-974,SR009,3,GT,fas,0.6797940087301587
SR009-CL2-910-974,SR009,3,GT,epi,0.6668674904761904
SR009-CR1-3890-3954,SR009,3,3D,fas,0.7137161382539683
SR009-CR1-3890-3954,SR009,3,3D,epi,0.5889943196825397
SR009-CR1-3890-3954,SR009,3,2D,fas,0.09326002852380952
SR009-CR1-3890-3954,SR009,3,2D,epi,0.34474141126984126
SR009-CR1-3890-3954,SR009,3,GT,fas,0.6764873665079365
SR009-CR1-3890-3954,SR009,3,GT,epi,0.6240625325396826
SR009-CR1-7400-7464,SR009,3,3D,fas,0.756178686031746
SR009-CR1-7400-7464,SR009,3,3D,epi,0.700838430952381
SR009-CR1-7400-7464,SR009,3,2D,fas,0.3197730693650794
SR009-CR1-7400-7464,SR009,3,2D,epi,0.4106440173015873
SR009-CR1-7400-7464,SR009,3,GT,fas,0.7302410501587302
SR009-CR1-7400-7464,SR009,3,GT,epi,0.6922488047619048
SR009-CR2-1990-2054,SR009,3,3D,fas,0.8566115147619048
SR009-CR2-1990-2054,SR009,3,3D,epi,0.814027423968254
SR009-CR2-1990-2054,SR009,3,2D,fas,0.43677367206349205
SR009-CR2-1990-2054,SR009,3,2D,epi,0.606172322063492
SR009-CR2-1990-2054,SR009,3,GT,fas,0.7940505641269842
SR009-CR2-1990-2054,SR009,3,GT,epi,0.77684666
SR009-CR3-1300-1364,SR009,3,3D,fas,0.8159293622222222
SR009-CR3-1300-1364,SR009,3,3D,epi,0.8020802287301587
SR009-CR3-1300-1364,SR009,3,2D,fas,0.48987681539682537
SR009-CR3-1300-1364,SR009,3,2D,epi,0.604512824920635
SR009-CR3-1300-1364,SR009,3,GT,fas,0.7068204004761904
SR009-CR3-1300-1364,SR009,3,GT,epi,0.7167701588888888
SR009-CR3-2100-2164,SR009,3,3D,fas,0.768519023015873
SR009-CR3-2100-2164,SR009,3,3D,epi,0.6363035903174603
SR009-CR3-2100-2164,SR009,3,2D,fas,0.39017949888888886
SR009-CR3-2100-2164,SR009,3,2D,epi,0.44814522476190477
SR009-CR3-2100-2164,SR009,3,GT,fas,0.6781056365079365
SR009-CR3-2100-2164,SR009,3,GT,epi,0.5727052158730158
SR009-CR3-800-864,SR009,3,3D,fas,0.8567520342857143
SR009-CR3-800-864,SR009,3,3D,epi,0.8446507693650793
SR009-CR3-800-864,SR009,3,2D,fas,0.3950740542857143
SR009-CR3-800-864,SR009,3,2D,epi,0.542749819047619
SR009-CR3-800-864,SR009,3,GT,fas,0.7808098255555556
SR009-CR3-800-864,SR009,3,GT,epi,0.7783689495238095
SR009-TL1-4050-4114,SR009,3,3D,fas,0.7898775201587301
SR009-TL1-4050-4114,SR009,3,3D,epi,0.7596057214285714
SR009-TL1-4050-4114,SR009,3,2D,fas,0.5141815326984127
SR009-TL1-4050-4114,SR009,3,2D,epi,0.61132836
SR009-TL1-4050-4114,SR009,3,GT,fas,0.6947385304761905
SR009-TL1-4050-4114,SR009,3,GT,epi,0.6940974592063492
SR009-TL1-4520-4584,SR009,3,3D,fas,0.7502778215873016
SR009-TL1-4520-4584,SR009,3,3D,epi,0.729834363968254
SR009-TL1-4520-4584,SR009,3,2D,fas,0.5018641103174604
SR009-TL1-4520-4584,SR009,3,2D,epi,0.6018366252380952
SR009-TL1-4520-4584,SR009,3,GT,fas,0.6867882507936508
SR009-TL1-4520-4584,SR009,3,GT,epi,0.7007732925396826
SR009-TL1-6130-6194,SR009,3,3D,fas,0.8426918955555556
SR009-TL1-6130-6194,SR009,3,3D,epi,0.7811715234920635
SR009-TL1-6130-6194,SR009,3,2D,fas,0.5176963919047619
SR009-TL1-6130-6194,SR009,3,2D,epi,0.5902204671428571
SR009-TL1-6130-6194,SR009,3,GT,fas,0.7609096134920635
SR009-TL1-6130-6194,SR009,3,GT,epi,0.71318398
SR009-TR1-2930-2994,SR009,3,3D,fas,0.7717832031746031
SR009-TR1-2930-2994,SR009,3,3D,epi,0.7514098677777777
SR009-TR1-2930-2994,SR009,3,2D,fas,0.3622268715873016
SR009-TR1-2930-2994,SR009,3,2D,epi,0.574455826984127
SR009-TR1-2930-2994,SR009,3,GT,fas,0.6736884865079366
SR009-TR1-2930-2994,SR009,3,GT,epi,0.669339234920635
SR009-TR1-5300-5364,SR009,3,3D,fas,0.7656532158730158
SR009-TR1-5300-5364,SR009,3,3D,epi,0.7681692215873016
SR009-TR1-5300-5364,SR009,3,2D,fas,0.36992428365079366
SR009-TR1-5300-5364,SR009,3,2D,epi,0.5151161060317461
SR009-TR1-5300-5364,SR009,3,GT,fas,0.7034201187301587
SR009-TR1-5300-5364,SR009,3,GT,epi,0.6862174495238095
SR010-CL1-4068-4132,SR010,4,3D,fas,0.8312795015873016
SR010-CL1-4068-4132,SR010,4,3D,epi,0.7932257276190476
SR010-CL1-4068-4132,SR010,4,2D,fas,0.4361466584126984
SR010-CL1-4068-4132,SR010,4,2D,epi,0.5957948855555556
SR010-CL1-4068-4132,SR010,4,GT,fas,0.7934645907936508
