id,subject,fold,model,area_category,missed_rate
SR009-CL2-2000-2064,SR009,3,3D,Medium,23.684210526315788
SR009-CL2-2000-2064,SR009,3,3D,Large,5.7894736842105265
SR009-CL2-2000-2064,SR009,3,2D,Tiny,12.105263157894736
SR009-CL2-2000-2064,SR009,3,2D,Small,13.939393939393941
SR009-CL2-2000-2064,SR009,3,2D,Medium,21.052631578947366
SR009-CL2-2000-2064,SR009,3,2D,Large,5.421686746987952
SR009-CL2-3128-3192,SR009,3,3D,Tiny,6.153846153846154
SR009-CL2-3128-3192,SR009,3,3D,Small,11.009174311926607
SR009-CL2-3128-3192,SR009,3,3D,Medium,6.25
SR009-CL2-3128-3192,SR009,3,2D,Tiny,6.153846153846154
SR009-CL2-3128-3192,SR009,3,2D,Small,17.741935483870968
SR009-CL2-3128-3192,SR009,3,2D,Medium,18.548387096774192
SR009-CL2-3128-3192,SR009,3,2D,Large,6.557377049180328
SR009-CL2-6610-6674,SR009,3,3D,Tiny,7.534246575342466
SR009-CL2-6610-6674,SR009,3,3D,Small,18.493150684931507
SR009-CL2-6610-6674,SR009,3,3D,Medium,9.782608695652174
SR009-CL2-6610-6674,SR009,3,2D,Tiny,7.534246575342466
SR009-CL2-6610-6674,SR009,3,2D,Small,36.3013698630137
SR009-CL2-6610-6674,SR009,3,2D,Medium,11.643835616438356
SR009-CL2-6610-6674,SR009,3,2D,Large,5.555555555555555
SR009-CL2-7170-7234,SR009,3,3D,Tiny,13.986013986013987
SR009-CL2-7170-7234,SR009,3,3D,Small,12.396694214876034
SR009-CL2-7170-7234,SR009,3,3D,Medium,7.8125
SR009-CL2-7170-7234,SR009,3,2D,Tiny,15.527950310559005
SR009-CL2-7170-7234,SR009,3,2D,Small,15.527950310559005
SR009-CL2-7170-7234,SR009,3,2D,Medium,10.559006211180124
SR009-CL2-7170-7234,SR009,3,2D,Large,5.357142857142857
SR009-CL2-910-974,SR009,3,3D,Tiny,7.18954248366013
SR009-CL2-910-974,SR009,3,3D,Small,15.686274509803921
SR009-CL2-910-974,SR009,3,3D,Medium,12.686567164179104
SR009-CL2-910-974,SR009,3,3D,Large,5
SR009-CL2-910-974,SR009,3,2D,Tiny,7.18954248366013
SR009-CL2-910-974,SR009,3,2D,Small,24.836601307189543
SR009-CL2-910-974,SR009,3,2D,Medium,10.44776119402985
SR009-CL2-910-974,SR009,3,2D,Large,5
SR009-CR1-3890-3954,SR009,3,3D,Medium,16.666666666666664
