id,subject,fold,model,class,DSC,IoU,Sensitivity,Specificity,tp,fp,fn,tn
SR010-CL2-997-1061,SR010,4,2D,epi,0.9277683063609763,0.8652684973452368,0.9052995818798958,0.9991636104355403,4854736,248096,507838,296379230
SR010-CL2-997-1061,SR010,4,2D,fas,0.9036561285535214,0.8242451589219615,0.9116107618706059,0.999373891858072,1616625,187968,156747,300028540
SR010-CR1-5758-5822,SR010,4,3D,epi,0.8849158982887463,0.7935866872558922,0.8806318201823249,0.9972601876978059,6481009,807232,878490,293823170
SR010-CR1-5758-5822,SR010,4,3D,fas,0.9349892460568078,0.8779153098642609,0.9051804062158259,0.9992028043137959,6841177,234720,716628,294197380
SR010-CR1-5758-5822,SR010,4,2D,epi,0.8753186089964389,0.7782814012912456,0.9009401319301762,0.996063298315019,6630468,1159872,729031,293470530
SR010-CR1-5758-5822,SR010,4,2D,fas,0.9152470710895845,0.843737819642403,0.8704273264525878,0.9991880232946889,6578520,239072,979285,294193020
SR010-CR1-7692-7756,SR010,4,3D,epi,0.9485019228222923,0.9020481762250444,0.9566450665311529,0.9986365121017406,6364750,402688,288449,294934000
SR010-CR1-7692-7756,SR010,4,3D,fas,0.9529056613640243,0.9100475727959254,0.9403122008448341,0.9997072098648789,2478237,87648,157310,299266700
SR010-CR1-7692-7756,SR010,4,2D,epi,0.942400683673697,0.8910753525704213,0.9558640888390683,0.9983620593260227,6359554,483744,293645,294852960
SR010-CR1-7692-7756,SR010,4,2D,fas,0.9478617701585186,0.9008909126905563,0.9409689904979877,0.9996083303924485,2479968,117248,155579,299237100
SR010-TL1-1100-1164,SR010,4,3D,epi,0.9621773637195445,0.9271115603798904,0.9549572663277905,0.9999066746852386,893310,28096,42135,301026340
SR010-TL1-1100-1164,SR010,4,3D,fas,0.9561112129137583,0.9159129063762694,0.9689565986642626,0.9998861835525651,573944,34304,18388,301363260
SR010-TL1-1100-1164,SR010,4,2D,epi,0.943010171500599,0.8921657958046597,0.9661145230344916,0.999742451893318,903747,77536,31698,300976900
SR010-TL1-1100-1164,SR010,4,2D,fas,0.9330880299845657,0.8745689018477011,0.9195957672386432,0.9998988180282783,544706,30496,47626,301367070
SR010-TL1-2764-2828,SR010,4,3D,epi,0.9423948907046326,0.8910649943176864,0.9252460368908009,0.9998224342058786,1287441,53376,104017,300545060
SR010-TL1-2764-2828,SR010,4,3D,fas,0.9104458462990387,0.835613212254266,0.9485780225987848,0.9997029680009217,628026,89504,34045,301238300
SR010-TL1-2764-2828,SR010,4,2D,epi,0.9245562930253747,0.8596975248721123,0.9152536404260855,0.9997008633644847,1273537,89920,117921,300508500
SR010-TL1-2764-2828,SR010,4,2D,fas,0.8893288787950028,0.8007130660155689,0.934192858469862,0.9996337277972035,618502,110368,43569,301217440
SR010-TL1-4236-4300,SR010,4,3D,epi,0.9138296327234006,0.8413317654896846,0.9058388556638985,0.9991395617108979,3035822,256960,315571,298381540
SR010-TL1-4236-4300,SR010,4,3D,fas,0.9092933198409736,0.8336735589704076,0.895203280978143,0.9997320015654512,978100,80640,114501,300816640
SR010-TL1-4236-4300,SR010,4,2D,epi,0.9067251565028183,0.8293661579208885,0.9059429914665335,0.9989638308523516,3036171,309440,315222,298329060
SR010-TL1-4236-4300,SR010,4,2D,fas,0.8950295896865511,0.8100032193917813,0.8727513520489182,0.9997187079923089,953569,84640,139032,300812640
SR010-TR1-1055-1119,SR010,4,3D,epi,0.8934811826455098,0.8074703914947245,0.8787086757605489,0.9996664410987006,999503,100352,137965,300752060
SR010-TR1-1055-1119,SR010,4,3D,fas,0.9101235733251859,0.8350704272978453,0.8841726444218334,0.9998309268122446,765560,50912,100289,301073120
SR010-TR1-1055-1119,SR010,4,2D,epi,0.8860535535206858,0.7954184479165082,0.9192988286263877,0.9994111664293388,1045673,177152,91795,300675260
SR010-TR1-1055-1119,SR010,4,2D,fas,0.8666012889289739,0.7646040889794757,0.8006615472212822,0.9998644013905871,693252,40832,172597,301083200
SR010-TR1-1183-1247,SR010,4,3D,epi,0.8804009464151162,0.7863537786997312,0.8673759295532943,0.9996048346591383,1000761,118880,153019,300717220
SR010-TR1-1183-1247,SR010,4,3D,fas,0.8856874324595997,0.7948285411646748,0.8690314638329473,0.9997194147645625,786397,84480,118515,301000500
SR010-TR1-1183-1247,SR010,4,2D,epi,0.8600620342242368,0.754481436749883,0.9334361836745306,0.9990903219212786,1076980,273664,76800,300562430
SR010-TR1-1183-1247,SR010,4,2D,fas,0.8086482097217337,0.6787652617140535,0.7087208479940591,0.9998673597139327,641330,39936,263582,301045060
SR010-TR1-119-183,SR010,4,3D,epi,0.8477259632697155,0.7356982247688575,0.7495085015306098,0.9999215784163266,941654,23584,314708,300709950
SR010-TR1-119-183,SR010,4,3D,fas,0.9809702576253175,0.962651252297432,0.9833945844506488,0.999922154275152,1069004,23424,18051,300879420
SR010-TR1-119-183,SR010,4,2D,epi,0.8181405085264986,0.6922485409043585,0.765261922917121,0.999559370718926,961446,132512,294916,300601020
SR010-TR1-119-183,SR010,4,2D,fas,0.9790461835575381,0.9589524695338798,0.9835399312822258,0.999907372097623,1069162,27872,17893,300874980
SR010-TR1-1439-1503,SR010,4,3D,epi,0.9252389327792402,0.8608787208600968,0.9018619480171074,0.999713883827893,1627078,85888,177054,300099870
SR010-TR1-1439-1503,SR010,4,3D,fas,0.9099611705315698,0.8347970236760488,0.9168046995269212,0.9997098644204009,815297,87360,73984,301013250
SR010-TR1-1439-1503,SR010,4,2D,epi,0.9247552634776877,0.8600416556965849,0.934285850481007,0.9994811745623736,1685575,155744,118557,300030000
SR010-TR1-1439-1503,SR010,4,2D,fas,0.8802196607855947,0.7860645788826073,0.8469640080019701,0.9997711861055234,753189,68896,136092,301031700
SR010-TR1-1619-1683,SR010,4,3D,epi,0.9489176997331158,0.9028005699384077,0.9420822798311121,0.9993570808481184,4142560,191328,254678,297401300
SR010-TR1-1619-1683,SR010,4,3D,fas,0.8907868057411488,0.8030798861316741,0.866016847451334,0.9996856208439764,1044929,94560,161663,300688740
SR010-TR1-1619-1683,SR010,4,2D,epi,0.9441546238276858,0.8942167528833309,0.9416692933154858,0.9992158945971796,4140744,233344,256494,297359300
SR010-TR1-1619-1683,SR010,4,2D,fas,0.8616356751802812,0.7569067796610169,0.8586614199331671,0.9994607147548228,1036054,162208,170538,300621100
SR010-TR1-1747-1811,SR010,4,3D,epi,0.9474919806538468,0.9002230512623123,0.9261244368326227,0.9996917691347874,2964403,92096,236466,298696930
SR010-TR1-1747-1811,SR010,4,3D,fas,0.9200475737922884,0.8519334291632324,0.9580360221476842,0.9996076554646287,908564,118112,39797,300923420
SR010-TR1-1747-1811,SR010,4,2D,epi,0.9488185832397565,0.9026211537909692,0.9335546065771514,0.9996328646956398,2988186,109696,212683,298679330
SR010-TR1-1747-1811,SR010,4,2D,fas,0.9181098641464855,0.8486165403681947,0.9424227693884502,0.999651768979172,893757,104832,54604,300936700
SR010-TR1-183-247,SR010,4,3D,epi,0.7959921595017972,0.6611187508317438,0.7813923249806883,0.9993079769997019,894216,208192,250172,300637300
SR010-TR1-183-247,SR010,4,3D,fas,0.9567228170619466,0.9170360789139907,0.9357847794687039,0.9999257687112566,1022343,22336,70155,300875040
SR010-TR1-183-247,SR010,4,2D,epi,0.7989105931769376,0.6651549740082159,0.7974340870404094,0.999243518693236,912574,227584,231814,300617920
SR010-TR1-183-247,SR010,4,2D,fas,0.9484719402560708,0.9019939424983535,0.9251907097312764,0.999906625972039,1010769,28096,81729,300869280
SR010-TR1-1875-1939,SR010,4,3D,epi,0.9560976848342524,0.9158880777867094,0.9407571256645796,0.999701648172893,3087706,89120,194444,298618620
SR010-TR1-1875-1939,SR010,4,3D,fas,0.9251043888191745,0.8606457959232914,0.9339181363105854,0.999719119978547,927419,84544,65622,300912300
